MOPE#1 SoilVue Data 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,Site,Latitude,Longitude,Altitude,5cm,5cm,5cm,5cm,10cm,10cm,10cm,10cm,20cm,20cm,20cm,20cm,30cm,30cm,30cm,30cm,40cm,40cm,40cm,40cm,50cm,50cm,50cm,50cm,,
,,,,,,SoilVue_VWC,SoilVue_Ka,SoilVue_TC,SoilVue_EC,SoilVue_VWC,SoilVue_Ka,SoilVue_TC,SoilVue_EC,SoilVue_VWC,SoilVue_Ka,SoilVue_TC,SoilVue_EC,SoilVue_VWC,SoilVue_Ka,SoilVue_TC,SoilVue_EC,SoilVue_VWC,SoilVue_Ka,SoilVue_TC,SoilVue_EC,SoilVue_VWC,SoilVue_Ka,SoilVue_TC,SoilVue_EC,,
EST,,,Dec Degree,Dec Degree,m,m^3/m^3,,Deg C,,m^3/m^3,,Deg C,,m^3/m^3,,Deg C,,m^3/m^3,,Deg C,,m^3/m^3,,Deg C,,m^3/m^3,,Deg C,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/24/23 12:20,5,MOPE#1,39.03095,-76.84426,40,0,1.752355,25.73397,0,0,1.780166,24.15222,0,0,2.121809,21.73529,0,0.0497547,3.928433,19.66174,0,0.1583287,8.620712,17.98257,0.0142415,0.1883882,10.24158,16.72463,0.0274088,,
4/24/23 12:40,6,MOPE#1,39.03095,-76.84426,40,0,1.766469,23.87518,0,0,1.718411,21.04983,0,0,2.081584,18.40219,0,0.0489889,3.901802,16.82589,0,0.1558922,8.49544,15.82461,0.0117052,0.1896414,10.31219,15.30841,0.0254664,,
4/24/23 13:00,7,MOPE#1,39.03095,-76.84426,40,0,1.70756,24.0288,0,0,1.788201,19.63449,0,0,2.092423,17.1311,0,0.0530002,4.042295,15.89886,0,0.1582471,8.6165,15.23519,0.0074117,0.1912023,10.40047,14.99197,0.0205819,,
4/24/23 13:20,8,MOPE#1,39.03095,-76.84426,40,0,1.702171,23.75277,0,0,1.739927,19.12066,0,0,2.077662,16.59844,0,0.0479211,3.864821,15.55343,0,0.158072,8.60747,15.04049,0.0073183,0.1880493,10.22253,14.87088,0.0207542,,
4/24/23 13:40,9,MOPE#1,39.03095,-76.84426,40,0,1.733852,27.259,0,0,1.756618,19.09381,0,0,2.078775,16.39736,0,0.0503775,3.950155,15.40628,0,0.1567963,8.541817,14.96771,0.0075304,0.1907266,10.37353,14.79837,0.0204236,,
4/24/23 14:00,10,MOPE#1,39.03095,-76.84426,40,0,1.691351,27.22506,0,0,1.770959,19.22827,0,0,2.170801,16.34725,0,0.0500718,3.939486,15.3818,0,0.1526038,8.327831,14.94348,0.0073419,0.1901375,10.3402,14.77423,0.0222656,,
4/24/23 14:20,11,MOPE#1,39.03095,-76.84426,40,0,1.767584,27.60021,0,0,1.864194,19.47146,0,0,2.183554,16.39736,0,0.0504425,3.952428,15.3818,0,0.1605184,8.73407,14.91928,0.0063803,0.1939036,10.55413,14.75012,0.0242813,,
4/24/23 14:40,12,MOPE#1,39.03095,-76.84426,40,0,1.64438,29.07434,0,0,1.740897,19.74359,0,0,2.181308,16.47265,0,0.0491079,3.905935,15.40628,0,0.1580087,8.604204,14.94348,0.007358,0.1900531,10.33543,14.75012,0.0203077,,
4/24/23 15:00,13,MOPE#1,39.03095,-76.84426,40,0,1.690183,28.61071,0,0,1.790953,19.90777,0,0,2.146109,16.59844,0,0.0533346,4.054122,15.45526,0,0.1596926,8.691233,14.94348,0.0039587,0.1945415,10.59059,14.75012,0.0216212,,
4/24/23 15:20,14,MOPE#1,39.03095,-76.84426,40,0,1.644882,27.22506,0,0,1.795997,19.96267,0,0,2.143222,16.69937,0,0.0505525,3.956272,15.50433,0,0.1562362,8.513072,14.96771,0.0054973,0.1925056,10.47447,14.75012,0.0226111,,
4/24/23 15:40,15,MOPE#1,39.03095,-76.84426,40,0,1.677228,27.42913,0,0,1.764607,19.88037,0,0,2.129692,16.80053,0,0.0515044,3.989615,15.55343,0,0.1592454,8.668079,14.99197,0.0083366,0.1956783,10.6557,14.77423,0.0202505,,
4/24/23 16:00,16,MOPE#1,39.03095,-76.84426,40,0,1.601654,26.2564,0,0,1.725583,19.82559,0,0,2.066911,16.90197,0,0.0498707,3.932473,15.62722,0,0.1585865,8.634019,15.04049,0.0092426,0.1926664,10.48361,14.77423,0.0210347,,
