"TOA5","CR300-23666","CR300","23666","CR300-CELL205.Std.10.02","CPU:Testbed_code_site_2.CR300","5761","Table_Acclima"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","Acclima_VWC_5_Avg","Acclima_Perm_5_Avg","Acclima_EC_5_Avg","Acclima_Temp_5_Avg","Acclima_VWC_20_Avg","Acclima_Perm_20_Avg","Acclima_EC_20_Avg","Acclima_Temp_20_Avg","Acclima_VWC_40_Avg","Acclima_Perm_40_Avg","Acclima_EC_40_Avg","Acclima_Temp_40_Avg"
"TS","RN","name","decdegrees","decdegrees","m","%","unitless","microS/cm","Deg c","%","unitless","microS/cm","Deg c","%","unitless","microS/cm","Deg c"
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-06-07 19:00:00",0,"Testbed Site 2",39.12561,-96.6388,326,72.28,44.83,7999,22.62,28.22,18.58,7999,22.65,140.4,58.83,7999,22.53
"2022-06-07 20:00:00",1,"Testbed Site 2",39.12561,-96.6388,326,40.09,25.09,7999,22.4,45.03,35.12,7999,22.38,326.1,102.9,7999,22.3
"2022-06-07 21:00:00",2,"Testbed Site 2",39.12561,-96.6388,326,91.6,35.51,7999,22.08,34.23,25.23,7839,22.03,184.9,86.7,5992,21.93
"2022-06-07 22:00:00",3,"Testbed Site 2",39.12561,-96.6388,326,255.9,76.06,7999,21.8,18.54,10.42,7999,21.74,146,72.78,6144,21.63
"2022-06-07 23:00:00",4,"Testbed Site 2",39.12561,-96.6388,326,132.8,90.7,7999,21.58,24.28,13.78,7999,21.54,61.44,54.5,7944,21.44
"2022-06-08 00:00:00",5,"Testbed Site 2",39.12561,-96.6388,326,132.7,90.7,7999,21.55,27.79,15.84,7999,21.6,64.73,59.2,7999,21.48
"2022-06-08 01:00:00",6,"Testbed Site 2",39.12561,-96.6388,326,132.3,90.6,7999,21.69,21.47,12.03,7999,21.79,65,59.43,7999,21.64
"2022-06-08 02:00:00",7,"Testbed Site 2",39.12561,-96.6388,326,135.5,91.5,7999,21.72,34.18,19.7,0,21.79,65.32,59.75,7999,21.62
"2022-06-08 03:00:00",8,"Testbed Site 2",39.12561,-96.6388,326,135.1,91.4,7999,21.69,34.52,20,0,21.72,65.97,60.35,7999,21.6
"2022-06-08 04:00:00",9,"Testbed Site 2",39.12561,-96.6388,326,132.2,90.6,7999,21.68,34.82,20.26,0,21.7,66.33,60.65,0,21.55
"2022-06-08 05:00:00",10,"Testbed Site 2",39.12561,-96.6388,326,129.8,89.9,7999,21.63,34.9,20.3,0,21.7,66.14,60.5,0,21.54
"2022-06-08 06:00:00",11,"Testbed Site 2",39.12561,-96.6388,326,129.8,89.9,7999,21.63,45.3,33.56,0,21.68,65.88,60.28,0,21.53
"2022-06-08 07:00:00",12,"Testbed Site 2",39.12561,-96.6388,326,130,90,7999,21.61,40.98,27.99,0,21.63,66.28,60.59,0,21.52
"2022-06-08 08:00:00",13,"Testbed Site 2",39.12561,-96.6388,326,129.9,89.9,7999,21.62,42.58,30.03,0,21.64,66.42,60.72,0,21.53
"2022-06-08 09:00:00",14,"Testbed Site 2",39.12561,-96.6388,326,129.1,89.7,7999,21.77,52.9,43.28,0,21.85,66.26,60.58,0,21.73
"2022-06-08 10:00:00",15,"Testbed Site 2",39.12561,-96.6388,326,129.1,89.7,7999,21.89,52.96,43.38,0,21.98,66.34,60.65,0,21.88
"2022-06-08 11:00:00",16,"Testbed Site 2",39.12561,-96.6388,326,128.9,89.7,7999,22,53.03,43.48,0,22.06,66.31,60.63,0,22
"2022-06-08 12:00:00",17,"Testbed Site 2",39.12561,-96.6388,326,128.6,89.6,7999,22.14,53.13,43.65,0,22.25,66.53,60.83,0,22.16
"2022-06-08 13:00:00",18,"Testbed Site 2",39.12561,-96.6388,326,128.4,89.5,7999,22.31,38.68,24.87,0,22.41,67.82,61.94,0,22.33
"2022-06-08 14:00:00",19,"Testbed Site 2",39.12561,-96.6388,326,129.4,89.8,7999,22.39,36.13,21.35,0,22.41,68.96,62.86,0,22.36
"2022-06-08 15:00:00",20,"Testbed Site 2",39.12561,-96.6388,326,100.9,69.69,7999,22.4,24.55,13.92,0,22.4,70.17,63.83,0,22.35
"2022-06-08 16:00:00",21,"Testbed Site 2",39.12561,-96.6388,326,134.4,64.85,7999,22.4,24.31,13.7,0,22.43,69.96,63.6,0,22.37
"2022-06-08 17:00:00",22,"Testbed Site 2",39.12561,-96.6388,326,244,82.2,5920,22.46,34.74,22.48,4488,22.5,193.1,76.27,2862,22.43
"2022-06-08 18:00:00",23,"Testbed Site 2",39.12561,-96.6388,326,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN"
"2022-06-08 19:00:00",24,"Testbed Site 2",39.12561,-96.6388,326,132,90,7999,22.54,34.32,19.81,7999,22.62,46.13,32.47,6274,22.54
"2022-06-08 20:00:00",25,"Testbed Site 2",39.12561,-96.6388,326,132.6,90.7,7999,22.38,37.85,24.04,3605,22.37,50.05,37.94,7999,22.3
"2022-06-08 21:00:00",26,"Testbed Site 2",39.12561,-96.6388,326,133.8,91,7999,22.17,44.07,31.94,0,22.13,53.85,43.22,7999,22.08
"2022-06-08 22:00:00",27,"Testbed Site 2",39.12561,-96.6388,326,133.3,90.9,3430,22.02,35.25,20.59,0,21.98,50.16,38.07,7999,21.89
"2022-06-08 23:00:00",28,"Testbed Site 2",39.12561,-96.6388,326,133.2,90.8,6307,21.86,35.12,20.47,0,21.86,51.81,40.42,7999,21.78
"2022-06-09 00:00:00",29,"Testbed Site 2",39.12561,-96.6388,326,133.2,90.8,6307,21.78,35.07,20.44,0,21.77,48.35,35.52,7999,21.64
"2022-06-09 01:00:00",30,"Testbed Site 2",39.12561,-96.6388,326,133.5,90.9,6307,21.67,35.3,20.65,0,21.63,91.9,42.8,7999,21.56
"2022-06-09 02:00:00",31,"Testbed Site 2",39.12561,-96.6388,326,133.4,90.9,5668,21.59,35.4,20.7,0,21.6,53.78,43.16,7999,21.5
"2022-06-09 03:00:00",32,"Testbed Site 2",39.12561,-96.6388,326,133.5,90.9,6307,21.6,35.4,20.7,0,21.6,50.32,38.24,7999,21.5
"2022-06-09 04:00:00",33,"Testbed Site 2",39.12561,-96.6388,326,133.5,90.9,6307,21.6,35.43,20.73,0,21.6,50.35,38.27,7999,21.5
"2022-06-09 05:00:00",34,"Testbed Site 2",39.12561,-96.6388,326,133.7,91,7999,21.61,35.52,20.79,0,21.69,97.1,52.61,7999,21.59
"2022-06-09 06:00:00",35,"Testbed Site 2",39.12561,-96.6388,326,133.7,91,7999,21.62,35.47,20.78,0,21.67,53.93,43.28,7999,21.58
"2022-06-09 07:00:00",36,"Testbed Site 2",39.12561,-96.6388,326,133.8,91,7999,21.61,35.48,20.78,0,21.63,46.88,33.39,7999,21.54
"2022-06-09 08:00:00",37,"Testbed Site 2",39.12561,-96.6388,326,133.7,91,7999,21.7,35.46,20.76,0,21.79,53.96,43.3,7999,21.67
"2022-06-09 09:00:00",38,"Testbed Site 2",39.12561,-96.6388,326,133.6,90.9,7999,21.92,35.47,20.76,0,22.04,50.44,38.38,0,21.98
"2022-06-09 10:00:00",39,"Testbed Site 2",39.12561,-96.6388,326,133.6,90.9,7999,22.08,35.4,20.7,0,22.16,50.33,38.27,0,22.11
"2022-06-09 11:00:00",40,"Testbed Site 2",39.12561,-96.6388,326,133.4,90.9,7999,22.1,35.24,20.61,0,22.16,48.55,35.77,0,22.09
"2022-06-09 12:00:00",41,"Testbed Site 2",39.12561,-96.6388,326,133.3,90.8,7999,22.03,35.31,20.64,0,22.05,57.22,48.03,0,21.98
