"TOA5","CR300-23667","CR300","23667","CR300-CELL205.Std.10.02","CPU:Testbed_codeSeparateTables-NoDelay.CR300","57864","Table_CS229"
"TIMESTAMP","RECORD","station","latitude","longitude","altitude","CS229_StartTemp_5_Avg","CS229_Temp_1sec_5_Avg","CS229_Temp_30sec_5_Avg","CS229_Delta_Temp_5_Avg","CS229_Delta_Tempcorr_5_Avg","CS229_Matric_P_5_Avg"
"TS","RN","name","decdegrees","decdegrees","m","","","","","",""
"","","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-06-01 10:26:00",0,"Ashland Bottoms S1",39.12561,-96.6388,326,183.6,183.5,183.5,-0.055,0.015,-0.887
"2022-06-01 10:28:00",1,"Ashland Bottoms S1",39.12561,-96.6388,326,185.8,185.8,185.8,-0.049,0.035,-0.764
"2022-06-01 10:30:00",2,"Ashland Bottoms S1",39.12561,-96.6388,326,185.8,185.8,185.8,-0.006,0.187,-1.002
"2022-06-01 10:32:00",3,"Ashland Bottoms S1",39.12561,-96.6388,326,186.2,186.2,186,-0.228,-0.594,-0.248
"2022-06-01 10:34:00",4,"Ashland Bottoms S1",39.12561,-96.6388,326,186.7,186.6,186.7,0.004,0.225,-1.072
"2022-06-01 10:36:00",5,"Ashland Bottoms S1",39.12561,-96.6388,326,186.6,186.7,186.7,-0.035,0.087,-0.838
"2022-06-01 10:38:00",6,"Ashland Bottoms S1",39.12561,-96.6388,326,186.8,186.9,186.6,-0.289,-0.812,-0.168
"2022-06-01 10:40:00",7,"Ashland Bottoms S1",39.12561,-96.6388,326,186.4,186.5,186.6,0.056,0.408,-1.486
"2022-06-01 10:42:00",8,"Ashland Bottoms S1",39.12561,-96.6388,326,186.3,186.4,186.4,0.011,0.248,-1.118
"2022-06-01 10:44:00",9,"Ashland Bottoms S1",39.12561,-96.6388,326,186.6,186.6,186.5,-0.012,0.166,-0.964
"2022-06-01 10:46:00",10,"Ashland Bottoms S1",39.12561,-96.6388,326,186.6,186.5,186.7,0.142,0.707,-2.538
"2022-06-01 10:48:00",11,"Ashland Bottoms S1",39.12561,-96.6388,326,295.4,295.4,295.4,0.026,0.483,-1.7
